fold,rank1,rank2,rank3,n_train,n_val,val_mse,val_r2,fit_iterations,train_mse
3,1,1,2,318,79,9.36144675130232,0.0655389799935735,4000,7.18868432689057
4,1,1,2,318,79,6.19612606055391,0.315032461215343,4000,7.1954404596685
5,1,1,2,318,79,7.55320115338557,0.302004296621826,4000,7.91328941027754
1,2,1,2,317,80,11.5941474937569,-0.0787446997621755,4000,6.28407107462405
2,2,1,2,317,80,9.53340447849811,0.124045494786459,4000,8.75515367810506
3,2,1,2,318,79,9.8390155879621,0.0178679870280573,4000,6.84683255271448
4,2,1,2,318,79,7.26701442332645,0.196648206441826,4000,8.76926571619857
5,2,1,2,318,79,7.07108765018943,0.346556685329317,4000,7.57764573864419
1,3,1,2,317,80,11.5625522809924,-0.0758050124478733,4000,6.28289449933698
2,3,1,2,317,80,9.63197495494079,0.114988577804099,4000,8.14223739604081
3,3,1,2,318,79,9.88524502073374,0.0132533581090715,4000,6.84639678039288
4,3,1,2,318,79,7.26018729871376,0.19740292942474,4000,8.85171022168479
5,3,1,2,318,79,6.94645384727822,0.358074167408914,4000,7.54319523005821
1,4,1,2,317,80,11.5527285548826,-0.0748909916042859,4000,6.32485556139763
2,4,1,2,317,80,11.078311396069,-0.0179046529948459,4000,8.94866089579669
3,4,1,2,318,79,9.96768168195405,0.00502451821110039,4000,6.84319683548408
4,4,1,2,318,79,7.27807207374201,0.195425808524828,4000,8.85537895419695
5,4,1,2,318,79,7.57542746680369,0.29995035009601,4000,7.90213332829479
1,5,1,2,317,80,11.6026841441088,-0.0795389682778844,4000,6.32806913867438
2,5,1,2,317,80,11.4680137459141,-0.0537115391716656,4000,9.0488429827389
3,5,1,2,318,79,9.77799598466191,0.0239589729894266,4000,7.08265531425039
4,5,1,2,318,79,7.27118030804858,0.196187677431104,4000,8.82545784758113
5,5,1,2,318,79,7.65198727696734,0.29287541359419,4000,8.01790317435744
1,6,1,2,317,80,11.5376135146693,-0.0734846553880577,4000,6.29771835859507
2,6,1,2,317,80,9.86718921215829,0.093376467590499,4000,8.26754024460276
3,6,1,2,318,79,9.80516545573061,0.0212469123088099,4000,7.09175654413598
4,6,1,2,318,79,7.27558845451741,0.195700366939379,4000,8.88546640731535
5,6,1,2,318,79,7.64317968668778,0.293689328124917,4000,7.99884661505608
1,7,1,2,317,80,11.5150352049443,-0.0713839203440565,4000,6.3011161668456
2,7,1,2,317,80,9.26388238743869,0.148809899826709,4000,7.90793351249843
3,7,1,2,318,79,9.80155689544781,0.0216071193379374,4000,7.1029190214959
4,7,1,2,318,79,7.46878587113832,0.174342835205987,4000,8.85131879309966
5,7,1,2,318,79,7.68603647909706,0.289728907059097,4000,8.08816050700455
1,8,1,2,317,80,11.513477497493,-0.071238987854817,4000,6.30747165429963
2,8,1,2,317,80,10.1299242215523,0.0692356776266347,4000,8.4094194171754
3,8,1,2,318,79,9.78971909932558,0.0227887699238859,4000,7.2791313726196
4,8,1,2,318,79,7.58227924964372,0.161796402260068,4000,8.87478590873428
5,8,1,2,318,79,7.57556201765097,0.299937916174103,4000,8.06440318388995
1,9,1,2,317,80,11.5086641425757,-0.0707911428444061,4000,6.31169196613734
2,9,1,2,317,80,10.767654342873,0.0106393415390177,4000,8.77914209693058
3,9,1,2,318,79,9.78525076365985,0.0232347998608025,4000,7.36264129775728
4,9,1,2,318,79,7.58637239883377,0.161343913995758,4000,8.88477125740213
5,9,1,2,318,79,7.57348756501552,0.300129617546409,4000,8.062368140733
1,10,1,2,317,80,11.5119662447082,-0.071098377608785,4000,6.31211194015608
2,10,1,2,317,80,10.9135776640928,-0.00276848049627576,4000,8.85804602662411
3,10,1,2,318,79,9.77231675725906,0.0245258743213144,4000,7.32155343443617
4,10,1,2,318,79,7.58487872956538,0.161509035710929,4000,8.85991689834683
5,10,1,2,318,79,7.58615417904454,0.298959088390748,4000,8.06971391415696
1,1,2,2,317,80,12.9227547715271,-0.202361210569182,4000,5.96621122245762
2,1,2,2,317,80,7.83022838405546,0.280537834586361,4000,6.62400316365659
3,1,2,2,318,79,8.8382722361466,0.11776233863264,4000,6.67537352258511
4,1,2,2,318,79,5.78624448349486,0.360343930395848,4000,6.34428229867835
5,1,2,2,318,79,7.38550965183414,0.317500765628674,4000,6.63537802203198
1,2,2,2,317,80,10.2399014624661,0.0472572964359567,4000,4.87327878772731
2,2,2,2,317,80,9.60033327201527,0.117895899608567,4000,6.62850467644637
3,2,2,2,318,79,7.89690644576148,0.211729613141791,4000,5.62379922439086
4,2,2,2,318,79,6.09724538546396,0.325963493280832,4000,7.03265207457038
5,2,2,2,318,79,7.93927500914531,0.266326987486988,4000,7.25834124838139
1,3,2,2,317,80,10.5185618043164,0.0213301321518363,4000,4.42497381772989
2,3,2,2,317,80,9.26853402522289,0.148382495001615,4000,6.21982370894863
3,3,2,2,318,79,7.43499726740252,0.257837456664973,4000,5.13740590645055
4,3,2,2,318,79,5.23940965768608,0.420795267424083,4000,5.79516668010484
5,3,2,2,318,79,7.77599220341145,0.281416046353994,4000,6.935876673901
1,4,2,2,317,80,11.2154551842334,-0.0435103436390387,4000,4.08801327318204
2,4,2,2,317,80,7.9422494679374,0.270245040094467,4000,5.49671248893119
3,4,2,2,318,79,7.7266003372988,0.228729594453999,4000,4.82141026747137
4,4,2,2,318,79,5.16524562819868,0.428993930951564,4000,5.60943578917469
5,4,2,2,318,79,8.2950251941687,0.233451906368433,4000,6.81512498197517
1,5,2,2,317,80,11.2330810347437,-0.0451502911062409,4000,4.08826904545715
2,5,2,2,317,80,7.8669667417331,0.277162216779055,4000,5.42425919047425
3,5,2,2,318,79,7.55145325042738,0.246212802957668,4000,4.76701882243894
4,5,2,2,318,79,5.12802481023731,0.433108607092978,4000,5.58249469675043
5,5,2,2,318,79,8.07443746728441,0.253836546265675,4000,7.01058475222153
1,6,2,2,317,80,11.2381250288094,-0.0456195952846621,4000,4.07741932475427
2,6,2,2,317,80,7.8462003039999,0.279070292192268,4000,5.44559031889621
3,6,2,2,318,79,7.6719121496454,0.234188577555065,4000,4.80915315259756
4,6,2,2,318,79,5.08974140135425,0.437340750226064,4000,5.60431847894992
5,6,2,2,318,79,7.96733164986857,0.263734257030276,4000,7.02368013886318
1,7,2,2,317,80,11.2340576746734,-0.0452411598094711,4000,4.0603765607816
2,7,2,2,317,80,7.87400593400285,0.276515437111239,4000,5.46244157416972
3,7,2,2,318,79,7.94025704021826,0.207402350295551,4000,4.82260795375888
4,7,2,2,318,79,5.11328230460809,0.434738357310723,4000,5.62795981178443
5,7,2,2,318,79,8.17456826672373,0.244583400961429,4000,6.96227241443873
1,8,2,2,317,80,11.2331801813583,-0.0451595159229092,4000,4.05553119952544
2,8,2,2,317,80,8.09093359978547,0.256583547451431,4000,5.46766421482274
3,8,2,2,318,79,7.84722497334793,0.216688825176034,4000,4.81045864629919
4,8,2,2,318,79,5.10728837926232,0.435400972023791,4000,5.63781714664075
5,8,2,2,318,79,8.09729168643806,0.251724574606326,4000,7.02712620140465
